"animeName","score","ranked","popularity","membre"
"Saiki Kusuo no <U+03A8>-nan: Kanketsu-hen",8.21,302,1126,154192
"Toaru Kagaku no Railgun T",8.21,303,988,174153
"Yoru wa Mijikashi Arukeyo Otome",8.21,304,1674,93924
"Bakuman.",8.21,305,288,536368
"Cardcaptor Sakura Movie 2: Fuuin Sareta Card",8.21,306,1565,102059
"Chihayafuru",8.21,307,418,388049
"Horimiya",8.21,308,146,797365
"InuYasha: Kanketsu-hen",8.21,309,737,236305
"Kaguya-hime no Monogatari",8.21,310,999,172716
"Little Busters!: Refrain",8.21,311,1194,144862
"Ballroom e Youkoso",8.2,312,667,260322
"Berserk: Ougon Jidai-hen III - Kourin",8.2,313,975,177207
"Bungou Stray Dogs 2nd Season",8.2,314,229,613391
"Bungou Stray Dogs 3rd Season",8.2,315,389,412612
"Fate/stay night: Unlimited Blade Works",8.2,316,125,859746
"Girls & Panzer Movie",8.2,317,1767,87173
"Higurashi no Naku Koro ni Kai",8.2,318,380,421169
"Liz to Aoi Tori",8.2,319,1595,1e+05
"One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari",8.2,320,2500,48866
"Non Non Biyori Repeat",8.19,321,1017,168089
"Senki Zesshou Symphogear XV",8.19,322,3162,31500
"Shoujo Kakumei Utena",8.19,323,989,174298
"Shoujo Shuumatsu Ryokou",8.19,324,658,261393
"86",8.19,325,470,355314
"Aria the Natural",8.19,326,2047,68592
"Asobi Asobase",8.19,327,471,351268
"Dr. Stone: Stone Wars",8.19,328,191,682625
"Hunter x Hunter: Greed Island",8.19,329,1304,129851
"Mo Dao Zu Shi Q",8.19,330,4484,14881
"Black Lagoon: The Second Barrage",8.18,331,376,422929
"Death Parade",8.18,332,48,1417438
"Digimon Adventure: Last Evolution Kizuna",8.18,333,3225,30356
"Douluo Dalu: Jingying Sai",8.18,334,4864,12049
"Hinamatsuri (TV)",8.18,335,399,402091
"Kamisama Hajimemashita<U+25CE>",8.18,336,561,298195
"Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen",8.18,337,805,216315
"Maison Ikkoku",8.18,338,2296,57070
"Major: Message",8.18,339,3439,26789
"Noragami Aragoto",8.18,340,75,1203533
"Ouran Koukou Host Club",8.18,341,109,939712
"One Piece Film: Z",8.17,342,833,208139
"Working!!!: Lord of the Takanashi",8.17,343,1720,89934
"Detective Conan Movie 20: The Darkest Nightmare",8.17,344,3126,32448
"Akira",8.16,345,211,656369
"Detective Conan",8.16,346,593,284667
"Gankutsuou",8.16,347,823,212256
"K-On!!",8.16,348,250,575446
"Kaiba",8.16,349,1335,125006
"Lupin III: Part 5",8.16,350,3029,34174
"Nisemonogatari",8.16,351,220,636124
"Nodame Cantabile: Paris-hen",8.16,352,1434,112843
"Seirei no Moribito",8.16,353,917,190594
"Tanoshii Muumin Ikka",8.16,354,3907,20602
"Tengen Toppa Gurren Lagann Movie 1: Gurren-hen",8.16,355,1218,141050
"Toki wo Kakeru Shoujo",8.16,356,189,680343
"Quanzhi Gaoshou Zhi Dianfeng Rongyao",8.15,357,2930,36390
"Toradora!",8.15,358,18,1817132
"5-toubun no Hanayome <U+222C>",8.15,359,352,458127
"Boku no Hero Academia 3rd Season",8.15,360,25,1693043
"Cardcaptor Sakura",8.15,361,444,369373
"Douluo Dalu: Hao Tian Yang Wei",8.15,362,6613,5693
"Dragon Ball Z",8.15,363,96,1015641
"Eizouken ni wa Te wo Dasu na!",8.15,364,668,260722
"Ginga Eiyuu Densetsu Gaiden",8.15,365,3933,20139
"Given Movie",8.15,366,1203,145015
"IDOLiSH7: Second Beat!",8.15,367,3911,20472
"Katekyo Hitman Reborn!",8.15,368,321,494909
"Lupin III: Cagliostro no Shiro",8.15,369,1671,94502
"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's",8.15,370,3825,21469
"Chuunibyou demo Koi ga Shitai! Movie: Take On Me",8.14,371,882,198638
"Douluo Dalu: Shan Yu Yu Lai",8.14,372,8821,2457
"Durarara!!",8.14,373,70,1219681
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season",8.14,374,1328,126779
"Initial D Fourth Stage",8.14,375,1257,136991
"Interstella5555: The 5tory of The 5ecret 5tar 5ystem",8.14,376,2180,62716
"Kono Subarashii Sekai ni Shukufuku wo!",8.14,377,35,1534992
"Made in Abyss Movie 1: Tabidachi no Yoake",8.14,378,1901,77288
"No Game No Life",8.14,379,14,1993879
"One Piece Film: Strong World",8.14,380,906,193693
"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna",8.14,381,2304,56823
"Sakura-sou no Pet na Kanojo",8.14,382,92,1050864
"Shokugeki no Souma: Ni no Sara",8.14,383,110,936356
"Tonikaku Kawaii: SNS",8.14,384,1895,77880
"Princess Tutu",8.13,385,1219,141032
"Baccano! Specials",8.13,386,1067,161692
"Detective Conan Movie 14: The Lost Ship in the Sky",8.13,387,2548,47046
"Detroit Metal City",8.13,388,930,187502
"Fullmetal Alchemist",8.13,389,59,1276483
"Haikyuu!! Movie 4: Concept no Tatakai",8.13,390,2391,53356
"Initial D Second Stage",8.13,391,1090,158621
"Koukaku Kidoutai: Stand Alone Complex - Solid State Society",8.13,392,1725,89521
"Mahoutsukai no Yome: Hoshi Matsu Hito",8.13,393,728,237640
"Mairimashita! Iruma-kun 2nd Season",8.13,394,1029,165617
"Mobile Suit Gundam 00",8.13,395,900,195678
